feature,importance,abs_importance
cat__InternetService_Fiber optic,2.3616603546656707,2.3616603546656707
num__MonthlyCharges,-2.0096923222381275,2.0096923222381275
cat__Contract_Two year,-1.741139121515028,1.741139121515028
cat__MultipleLines_No phone service,-0.9491958765502446,0.9491958765502446
num__num_services,0.9145907574405607,0.9145907574405607
bin__temporary_customer,0.7641427381987392,0.7641427381987392
num__tenure,-0.7388424642711263,0.7388424642711263
cat__MultipleLines_Yes,0.5967045175450221,0.5967045175450221
cat__Contract_One year,-0.5861375289829822,0.5861375289829822
cat__StreamingMovies_Yes,0.5393018554420442,0.5393018554420442
cat__OnlineSecurity_Yes,-0.5123319075978258,0.5123319075978258
cat__TechSupport_Yes,-0.38536666853923707,0.38536666853923707
cat__TechSupport_No internet service,-0.34149983249831983,0.34149983249831983
cat__OnlineSecurity_No internet service,-0.34149983249831983,0.34149983249831983
cat__StreamingTV_No internet service,-0.34149983249831983,0.34149983249831983
cat__StreamingMovies_No internet service,-0.34149983249831983,0.34149983249831983
cat__DeviceProtection_No internet service,-0.34149983249831983,0.34149983249831983
cat__OnlineBackup_No internet service,-0.34149983249831983,0.34149983249831983
cat__InternetService_No,-0.34149983249831983,0.34149983249831983
num__TotalCharges,0.3386801699833298,0.3386801699833298
cat__PaymentMethod_Electronic check,0.2991357704979205,0.2991357704979205
cat__OnlineBackup_Yes,-0.28984596138627683,0.28984596138627683
cat__PaperlessBilling_Yes,0.28885755695517584,0.28885755695517584
cat__StreamingTV_Yes,0.26850580387426287,0.26850580387426287
bin__fiber_without_services,0.21348617195242997,0.21348617195242997
bin__senior_alone,0.2071749612768853,0.2071749612768853
cat__PhoneService_Yes,-0.12969166156094275,0.12969166156094275
cat__DeviceProtection_Yes,-0.12518607572903728,0.12518607572903728
bin__SeniorCitizen,0.1065400519550849,0.1065400519550849
cat__Partner_Yes,0.08310046303770431,0.08310046303770431
cat__PaymentMethod_Mailed check,-0.07624064182048307,0.07624064182048307
cat__Dependents_Yes,-0.06934684430520437,0.06934684430520437
cat__PaymentMethod_Credit card (automatic),-0.06882445173499202,0.06882445173499202
cat__gender_Male,-0.052731327601605586,0.052731327601605586
bin__IsAlone,0.04225931693645639,0.04225931693645639
